index,psnr_noisy,ssim_noisy,psnr_bilateral,ssim_bilateral
0196,13.3117,0.2609,17.9553,0.4932
0197,25.4442,0.8990,32.2716,0.9659
0198,26.7202,0.9474,31.1771,0.9756
0199,24.7541,0.8564,30.0570,0.9537
0200,25.1048,0.9261,30.3958,0.9622
0201,20.2124,0.3364,26.1640,0.7578
0202,20.5690,0.8024,26.7746,0.9224
0203,26.6655,0.9313,32.3779,0.9631
0204,21.5472,0.7343,28.7576,0.9121
0205,24.6272,0.8880,30.8472,0.9508
0206,23.2343,0.8470,30.6140,0.9458
0207,21.3476,0.8714,28.4406,0.9433
0208,23.2531,0.8258,30.3207,0.9276
0209,21.6374,0.8405,28.4149,0.9421
0210,16.7776,0.3188,22.0965,0.5910
0211,12.2222,0.1437,18.7852,0.4344
0212,14.6415,0.4419,18.9337,0.6081
0213,24.7037,0.8810,31.6336,0.9588
0214,26.5358,0.9435,30.9512,0.9742
0215,25.7262,0.8822,31.6849,0.9632
0216,21.2591,0.7885,27.9156,0.9182
0217,23.5818,0.8918,28.0099,0.9490
0218,19.7276,0.3548,26.0370,0.7417
0219,12.7149,0.1959,18.4545,0.4666
0220,22.2623,0.7653,29.8553,0.9250
0221,23.8082,0.8620,31.7088,0.9487
0222,22.5938,0.8135,29.9944,0.9334
0223,21.0786,0.8668,27.9150,0.9387
0224,22.0506,0.7778,29.2618,0.9161
0225,19.8125,0.7482,26.4791,0.8972
0226,14.6593,0.4139,19.0202,0.5713
0227,24.8454,0.8830,31.8669,0.9619
0228,26.1344,0.9379,30.5728,0.9705
0229,25.5236,0.8778,31.4640,0.9642
0230,23.3545,0.8535,30.4249,0.9493
0231,24.7386,0.9207,29.0105,0.9634
0232,20.2733,0.7996,25.7213,0.9069
0233,28.4883,0.9575,35.2576,0.9803
0234,17.4633,0.3241,22.1863,0.6327
0235,13.4798,0.2288,17.2154,0.4327
0236,23.7216,0.8665,31.5209,0.9506
0237,22.2255,0.8016,29.6344,0.9290
0238,20.5293,0.8666,26.6438,0.9338
0239,21.7728,0.7622,28.6088,0.9056
0240,19.8795,0.7603,26.1934,0.8949
0241,23.6759,0.8434,30.0411,0.9392
0242,22.0938,0.7916,27.2323,0.9083
0243,23.2942,0.8260,29.5630,0.9383
0244,22.8229,0.8648,29.4206,0.9456
0245,24.9394,0.9290,31.0840,0.9694
0246,20.9036,0.7967,27.1568,0.9116
0247,27.3135,0.9505,33.1167,0.9771
0248,21.3023,0.7096,28.2525,0.9008
0249,22.4259,0.9363,25.9553,0.9483
0250,18.7708,0.2571,25.4695,0.7104
0251,21.8640,0.7541,29.0468,0.9182
0252,23.5171,0.8525,31.1221,0.9403
0253,22.2794,0.8148,29.3424,0.9341
0254,20.6843,0.8687,26.9149,0.9372
0255,22.6097,0.8156,29.5117,0.9265
0256,19.3850,0.7357,25.7038,0.8901
0257,13.9912,0.2024,18.0229,0.4392
0258,25.6607,0.9066,32.7756,0.9692
0259,22.5806,0.8124,28.3389,0.9206
0260,23.0929,0.8145,29.5747,0.9329
0261,21.8806,0.8163,28.5310,0.9318
0262,23.7753,0.8959,29.8542,0.9542
0263,19.7694,0.8014,25.6497,0.9074
0264,26.9201,0.9459,32.3422,0.9727
0265,23.9891,0.9580,27.3596,0.9665
0266,12.8367,0.2158,16.2685,0.4249
0267,23.0874,0.8482,30.4946,0.9407
0268,20.5309,0.7369,27.7237,0.8962
0269,20.3915,0.8609,26.7125,0.9341
0270,22.4608,0.8146,29.5894,0.9266
0271,19.4525,0.7193,26.3387,0.9016
0272,24.0556,0.8633,30.8732,0.9545
0273,22.3773,0.8138,27.9957,0.9200
0274,24.0140,0.8164,29.7138,0.9386
0275,23.1528,0.8648,30.0379,0.9468
0276,24.6129,0.9073,30.6374,0.9596
0277,20.8526,0.8237,26.2388,0.9107
0278,27.2792,0.9495,31.0890,0.9723
0279,23.1224,0.8086,30.3639,0.9395
0280,21.7226,0.9289,25.0228,0.9426
